points,item,team,role,opponent
30,Trimeteor,Team Vitality,jungle,Fnatic
0,Unstoppable Lightning,Team Vitality,jungle,Fnatic
0,Versatil Saber,Team Vitality,jungle,Fnatic
20,Wild Claw,Team Vitality,jungle,Fnatic
10,Wild Spirit,Team Vitality,jungle,Fnatic
16,Arcane Adrenaline,Team Vitality,mid,Fnatic
0,Arcane Explosive,Team Vitality,mid,Fnatic
0,Beast Hunter,Team Vitality,mid,Fnatic
0,Being of Light,Team Vitality,mid,Fnatic
14,Berseker Ax,Team Vitality,mid,Fnatic
0,Collecting Hammer,Team Vitality,mid,Fnatic
0,Colossal Mace,Team Vitality,mid,Fnatic
0,Conquering Staff,Team Vitality,mid,Fnatic
0,Crown of the Dwarf King,Team Vitality,mid,Fnatic
0,Dance of Death,Team Vitality,mid,Fnatic
10,Death Helper,Team Vitality,mid,Fnatic
0,Demon Claws,Team Vitality,mid,Fnatic
25,Divine Ascent,Team Vitality,mid,Fnatic
0,Divine Impetu,Team Vitality,mid,Fnatic
0,Elemental Discharge,Team Vitality,mid,Fnatic
18,Equivalent Totem,Team Vitality,mid,Fnatic
16,Fast Furious Blade,Team Vitality,mid,Fnatic
0,Final Asteroid,Team Vitality,mid,Fnatic
5,Guardian Totem,Team Vitality,mid,Fnatic
0,Hawk's Eye,Team Vitality,mid,Fnatic
0,Heavenly Vision,Team Vitality,mid,Fnatic
0,Holy Sword,Team Vitality,mid,Fnatic
0,Huntress of Souls,Team Vitality,mid,Fnatic
0,Immortal Breastplate,Team Vitality,mid,Fnatic
30,Imperious Gauntlet,Team Vitality,mid,Fnatic
3,Incapacitor,Team Vitality,mid,Fnatic
0,Legend Aura,Team Vitality,mid,Fnatic
0,Magnetic Disintegrator,Team Vitality,mid,Fnatic
0,Meteorites,Team Vitality,mid,Fnatic
0,Obsidian Battle Plate,Team Vitality,mid,Fnatic
11,Omnipresent Amulet,Team Vitality,mid,Fnatic
0,Omnipresent Spirit,Team Vitality,mid,Fnatic
15,Perfect Scythe,Team Vitality,mid,Fnatic
0,Precise Hammer,Team Vitality,mid,Fnatic
0,Rampage Momentum,Team Vitality,mid,Fnatic
0,Rock Tomb,Team Vitality,mid,Fnatic
0,Sacred Help,Team Vitality,mid,Fnatic
0,Savage Looter,Team Vitality,mid,Fnatic
17,Scythe,Team Vitality,mid,Fnatic
0,Secret Scroll,Team Vitality,mid,Fnatic
3,Sharp Blade,Team Vitality,mid,Fnatic
0,Siege Mace,Team Vitality,mid,Fnatic
0,Soul Hunter,Team Vitality,mid,Fnatic
15,Spirit of the Squire,Team Vitality,mid,Fnatic
0,Spirit of the Warrior,Team Vitality,mid,Fnatic
0,Staff of Conquered Worlds,Team Vitality,mid,Fnatic
0,Steel Aura,Team Vitality,mid,Fnatic
0,Swords of Darkness,Team Vitality,mid,Fnatic
0,The Puppeteer,Team Vitality,mid,Fnatic
0,The Stalker,Team Vitality,mid,Fnatic
0,The Visionary,Team Vitality,mid,Fnatic
0,Thirsty Dagger,Team Vitality,mid,Fnatic
25,Thirsty Scythes,Team Vitality,mid,Fnatic
17,Treasurer's Wisdom,Team Vitality,mid,Fnatic
0,Trimeteor,Team Vitality,mid,Fnatic
0,Unstoppable Lightning,Team Vitality,mid,Fnatic
0,Versatil Saber,Team Vitality,mid,Fnatic
2,Wild Claw,Team Vitality,mid,Fnatic
0,Wild Spirit,Team Vitality,mid,Fnatic
0,Arcane Adrenaline,Team Vitality,bot,Fnatic
12,Arcane Explosive,Team Vitality,bot,Fnatic
0,Beast Hunter,Team Vitality,bot,Fnatic
0,Being of Light,Team Vitality,bot,Fnatic
14,Berseker Ax,Team Vitality,bot,Fnatic
12,Collecting Hammer,Team Vitality,bot,Fnatic
11,Colossal Mace,Team Vitality,bot,Fnatic
0,Conquering Staff,Team Vitality,bot,Fnatic
0,Crown of the Dwarf King,Team Vitality,bot,Fnatic
8,Dance of Death,Team Vitality,bot,Fnatic
0,Death Helper,Team Vitality,bot,Fnatic
17,Demon Claws,Team Vitality,bot,Fnatic
0,Divine Ascent,Team Vitality,bot,Fnatic
11,Divine Impetu,Team Vitality,bot,Fnatic
0,Elemental Discharge,Team Vitality,bot,Fnatic
17,Equivalent Totem,Team Vitality,bot,Fnatic
16,Fast Furious Blade,Team Vitality,bot,Fnatic
0,Final Asteroid,Team Vitality,bot,Fnatic
3,Guardian Totem,Team Vitality,bot,Fnatic
0,Hawk's Eye,Team Vitality,bot,Fnatic
0,Heavenly Vision,Team Vitality,bot,Fnatic
0,Holy Sword,Team Vitality,bot,Fnatic
19,Huntress of Souls,Team Vitality,bot,Fnatic
14,Immortal Breastplate,Team Vitality,bot,Fnatic
0,Imperious Gauntlet,Team Vitality,bot,Fnatic
9,Incapacitor,Team Vitality,bot,Fnatic
0,Legend Aura,Team Vitality,bot,Fnatic
0,Magnetic Disintegrator,Team Vitality,bot,Fnatic
0,Meteorites,Team Vitality,bot,Fnatic
20,Obsidian Battle Plate,Team Vitality,bot,Fnatic
0,Omnipresent Amulet,Team Vitality,bot,Fnatic
0,Omnipresent Spirit,Team Vitality,bot,Fnatic
0,Perfect Scythe,Team Vitality,bot,Fnatic
18,Precise Hammer,Team Vitality,bot,Fnatic
15,Rampage Momentum,Team Vitality,bot,Fnatic
0,Rock Tomb,Team Vitality,bot,Fnatic
0,Sacred Help,Team Vitality,bot,Fnatic
0,Savage Looter,Team Vitality,bot,Fnatic
18,Scythe,Team Vitality,bot,Fnatic
18,Secret Scroll,Team Vitality,bot,Fnatic
12,Sharp Blade,Team Vitality,bot,Fnatic
0,Siege Mace,Team Vitality,bot,Fnatic
0,Soul Hunter,Team Vitality,bot,Fnatic
9,Spirit of the Squire,Team Vitality,bot,Fnatic
0,Spirit of the Warrior,Team Vitality,bot,Fnatic
0,Staff of Conquered Worlds,Team Vitality,bot,Fnatic
0,Steel Aura,Team Vitality,bot,Fnatic
17,Swords of Darkness,Team Vitality,bot,Fnatic
0,The Puppeteer,Team Vitality,bot,Fnatic
0,The Stalker,Team Vitality,bot,Fnatic
0,The Visionary,Team Vitality,bot,Fnatic
0,Thirsty Dagger,Team Vitality,bot,Fnatic
25,Thirsty Scythes,Team Vitality,bot,Fnatic
17,Treasurer's Wisdom,Team Vitality,bot,Fnatic
0,Trimeteor,Team Vitality,bot,Fnatic
0,Unstoppable Lightning,Team Vitality,bot,Fnatic
11,Versatil Saber,Team Vitality,bot,Fnatic
0,Wild Claw,Team Vitality,bot,Fnatic
0,Wild Spirit,Team Vitality,bot,Fnatic
0,Arcane Adrenaline,Team Vitality,support,Fnatic
0,Arcane Explosive,Team Vitality,support,Fnatic
0,Beast Hunter,Team Vitality,support,Fnatic
0,Being of Light,Team Vitality,support,Fnatic
0,Berseker Ax,Team Vitality,support,Fnatic
0,Collecting Hammer,Team Vitality,support,Fnatic
0,Colossal Mace,Team Vitality,support,Fnatic
24,Conquering Staff,Team Vitality,support,Fnatic
0,Crown of the Dwarf King,Team Vitality,support,Fnatic
0,Dance of Death,Team Vitality,support,Fnatic
10,Death Helper,Team Vitality,support,Fnatic
0,Demon Claws,Team Vitality,support,Fnatic
0,Divine Ascent,Team Vitality,support,Fnatic
0,Divine Impetu,Team Vitality,support,Fnatic
0,Elemental Discharge,Team Vitality,support,Fnatic
13,Equivalent Totem,Team Vitality,support,Fnatic
0,Fast Furious Blade,Team Vitality,support,Fnatic
0,Final Asteroid,Team Vitality,support,Fnatic
16,Guardian Totem,Team Vitality,support,Fnatic
8,Hawk's Eye,Team Vitality,support,Fnatic
0,Heavenly Vision,Team Vitality,support,Fnatic
0,Holy Sword,Team Vitality,support,Fnatic
0,Huntress of Souls,Team Vitality,support,Fnatic
14,Immortal Breastplate,Team Vitality,support,Fnatic
0,Imperious Gauntlet,Team Vitality,support,Fnatic
15,Incapacitor,Team Vitality,support,Fnatic
0,Legend Aura,Team Vitality,support,Fnatic
0,Magnetic Disintegrator,Team Vitality,support,Fnatic
0,Meteorites,Team Vitality,support,Fnatic
20,Obsidian Battle Plate,Team Vitality,support,Fnatic
0,Omnipresent Amulet,Team Vitality,support,Fnatic
0,Omnipresent Spirit,Team Vitality,support,Fnatic
0,Perfect Scythe,Team Vitality,support,Fnatic
0,Precise Hammer,Team Vitality,support,Fnatic
0,Rampage Momentum,Team Vitality,support,Fnatic
0,Rock Tomb,Team Vitality,support,Fnatic
0,Sacred Help,Team Vitality,support,Fnatic
0,Savage Looter,Team Vitality,support,Fnatic
2,Scythe,Team Vitality,support,Fnatic
0,Secret Scroll,Team Vitality,support,Fnatic
0,Sharp Blade,Team Vitality,support,Fnatic
0,Siege Mace,Team Vitality,support,Fnatic
0,Soul Hunter,Team Vitality,support,Fnatic
15,Spirit of the Squire,Team Vitality,support,Fnatic
0,Spirit of the Warrior,Team Vitality,support,Fnatic
0,Staff of Conquered Worlds,Team Vitality,support,Fnatic
0,Steel Aura,Team Vitality,support,Fnatic
0,Swords of Darkness,Team Vitality,support,Fnatic
0,The Puppeteer,Team Vitality,support,Fnatic
16,The Stalker,Team Vitality,support,Fnatic
0,The Visionary,Team Vitality,support,Fnatic
0,Thirsty Dagger,Team Vitality,support,Fnatic
0,Thirsty Scythes,Team Vitality,support,Fnatic
0,Treasurer's Wisdom,Team Vitality,support,Fnatic
0,Trimeteor,Team Vitality,support,Fnatic
0,Unstoppable Lightning,Team Vitality,support,Fnatic
11,Versatil Saber,Team Vitality,support,Fnatic
0,Wild Claw,Team Vitality,support,Fnatic
0,Wild Spirit,Team Vitality,support,Fnatic
0,Baron' s Mask,Team Vitality,coach,Fnatic
0,Big Worm Hunter,Team Vitality,coach,Fnatic
22,Conquest Hammer,Team Vitality,coach,Fnatic
18,Destroyer Hammer,Team Vitality,coach,Fnatic
0,Elemental Dragon Soul,Team Vitality,coach,Fnatic
8,Eye of the Void,Team Vitality,coach,Fnatic
8,First Line,Team Vitality,coach,Fnatic
0,Golden Force,Team Vitality,coach,Fnatic
0,Killer Momentum,Team Vitality,coach,Fnatic
12,Light Swords,Team Vitality,coach,Fnatic
0,Magic Scales,Team Vitality,coach,Fnatic
17,Royal Protector,Team Vitality,coach,Fnatic
0,Scale Tearer,Team Vitality,coach,Fnatic
8,Seal of Desecration,Team Vitality,coach,Fnatic
0,Spirit of the Rift,Team Vitality,coach,Fnatic
0,Underworld Guardian,Team Vitality,coach,Fnatic
0,Arcane Adrenaline,Fnatic,top,Team Vitality
0,Arcane Explosive,Fnatic,top,Team Vitality
0,Beast Hunter,Fnatic,top,Team Vitality
18,Being of Light,Fnatic,top,Team Vitality
14,Berseker Ax,Fnatic,top,Team Vitality
0,Collecting Hammer,Fnatic,top,Team Vitality
0,Colossal Mace,Fnatic,top,Team Vitality
0,Conquering Staff,Fnatic,top,Team Vitality
0,Crown of the Dwarf King,Fnatic,top,Team Vitality
0,Dance of Death,Fnatic,top,Team Vitality
0,Death Helper,Fnatic,top,Team Vitality
0,Demon Claws,Fnatic,top,Team Vitality
25,Divine Ascent,Fnatic,top,Team Vitality
0,Divine Impetu,Fnatic,top,Team Vitality
0,Elemental Discharge,Fnatic,top,Team Vitality
18,Equivalent Totem,Fnatic,top,Team Vitality
16,Fast Furious Blade,Fnatic,top,Team Vitality
0,Final Asteroid,Fnatic,top,Team Vitality
5,Guardian Totem,Fnatic,top,Team Vitality
0,Hawk's Eye,Fnatic,top,Team Vitality
0,Heavenly Vision,Fnatic,top,Team Vitality
0,Holy Sword,Fnatic,top,Team Vitality
0,Huntress of Souls,Fnatic,top,Team Vitality
0,Immortal Breastplate,Fnatic,top,Team Vitality
0,Imperious Gauntlet,Fnatic,top,Team Vitality
0,Incapacitor,Fnatic,top,Team Vitality
0,Legend Aura,Fnatic,top,Team Vitality
0,Magnetic Disintegrator,Fnatic,top,Team Vitality
0,Meteorites,Fnatic,top,Team Vitality
0,Obsidian Battle Plate,Fnatic,top,Team Vitality
0,Omnipresent Amulet,Fnatic,top,Team Vitality
0,Omnipresent Spirit,Fnatic,top,Team Vitality
15,Perfect Scythe,Fnatic,top,Team Vitality
0,Precise Hammer,Fnatic,top,Team Vitality
0,Rampage Momentum,Fnatic,top,Team Vitality
0,Rock Tomb,Fnatic,top,Team Vitality
20,Sacred Help,Fnatic,top,Team Vitality
0,Savage Looter,Fnatic,top,Team Vitality
17,Scythe,Fnatic,top,Team Vitality
0,Secret Scroll,Fnatic,top,Team Vitality
6,Sharp Blade,Fnatic,top,Team Vitality
0,Siege Mace,Fnatic,top,Team Vitality
0,Soul Hunter,Fnatic,top,Team Vitality
3,Spirit of the Squire,Fnatic,top,Team Vitality
0,Spirit of the Warrior,Fnatic,top,Team Vitality
0,Staff of Conquered Worlds,Fnatic,top,Team Vitality
0,Steel Aura,Fnatic,top,Team Vitality
17,Swords of Darkness,Fnatic,top,Team Vitality
20,The Puppeteer,Fnatic,top,Team Vitality
0,The Stalker,Fnatic,top,Team Vitality
0,The Visionary,Fnatic,top,Team Vitality
0,Thirsty Dagger,Fnatic,top,Team Vitality
0,Thirsty Scythes,Fnatic,top,Team Vitality
17,Treasurer's Wisdom,Fnatic,top,Team Vitality
0,Trimeteor,Fnatic,top,Team Vitality
0,Unstoppable Lightning,Fnatic,top,Team Vitality
0,Versatil Saber,Fnatic,top,Team Vitality
0,Wild Claw,Fnatic,top,Team Vitality
0,Wild Spirit,Fnatic,top,Team Vitality
0,Arcane Adrenaline,Fnatic,jungle,Team Vitality
12,Arcane Explosive,Fnatic,jungle,Team Vitality
18,Beast Hunter,Fnatic,jungle,Team Vitality
0,Being of Light,Fnatic,jungle,Team Vitality
14,Berseker Ax,Fnatic,jungle,Team Vitality
0,Collecting Hammer,Fnatic,jungle,Team Vitality
0,Colossal Mace,Fnatic,jungle,Team Vitality
24,Conquering Staff,Fnatic,jungle,Team Vitality
0,Crown of the Dwarf King,Fnatic,jungle,Team Vitality
8,Dance of Death,Fnatic,jungle,Team Vitality
10,Death Helper,Fnatic,jungle,Team Vitality
0,Demon Claws,Fnatic,jungle,Team Vitality
0,Divine Ascent,Fnatic,jungle,Team Vitality
0,Divine Impetu,Fnatic,jungle,Team Vitality
18,Elemental Discharge,Fnatic,jungle,Team Vitality
16,Equivalent Totem,Fnatic,jungle,Team Vitality
0,Fast Furious Blade,Fnatic,jungle,Team Vitality
0,Final Asteroid,Fnatic,jungle,Team Vitality
2,Guardian Totem,Fnatic,jungle,Team Vitality
0,Hawk's Eye,Fnatic,jungle,Team Vitality
0,Heavenly Vision,Fnatic,jungle,Team Vitality
0,Holy Sword,Fnatic,jungle,Team Vitality
0,Huntress of Souls,Fnatic,jungle,Team Vitality
0,Immortal Breastplate,Fnatic,jungle,Team Vitality
0,Imperious Gauntlet,Fnatic,jungle,Team Vitality
15,Incapacitor,Fnatic,jungle,Team Vitality
0,Legend Aura,Fnatic,jungle,Team Vitality
0,Magnetic Disintegrator,Fnatic,jungle,Team Vitality
0,Meteorites,Fnatic,jungle,Team Vitality
0,Obsidian Battle Plate,Fnatic,jungle,Team Vitality
0,Omnipresent Amulet,Fnatic,jungle,Team Vitality
18,Omnipresent Spirit,Fnatic,jungle,Team Vitality
0,Perfect Scythe,Fnatic,jungle,Team Vitality
0,Precise Hammer,Fnatic,jungle,Team Vitality
0,Rampage Momentum,Fnatic,jungle,Team Vitality
10,Rock Tomb,Fnatic,jungle,Team Vitality
0,Sacred Help,Fnatic,jungle,Team Vitality
0,Savage Looter,Fnatic,jungle,Team Vitality
11,Scythe,Fnatic,jungle,Team Vitality
0,Secret Scroll,Fnatic,jungle,Team Vitality
12,Sharp Blade,Fnatic,jungle,Team Vitality
16,Siege Mace,Fnatic,jungle,Team Vitality
0,Soul Hunter,Fnatic,jungle,Team Vitality
12,Spirit of the Squire,Fnatic,jungle,Team Vitality
16,Spirit of the Warrior,Fnatic,jungle,Team Vitality
0,Staff of Conquered Worlds,Fnatic,jungle,Team Vitality
0,Steel Aura,Fnatic,jungle,Team Vitality
0,Swords of Darkness,Fnatic,jungle,Team Vitality
0,The Puppeteer,Fnatic,jungle,Team Vitality
0,The Stalker,Fnatic,jungle,Team Vitality
0,The Visionary,Fnatic,jungle,Team Vitality
0,Thirsty Dagger,Fnatic,jungle,Team Vitality
0,Thirsty Scythes,Fnatic,jungle,Team Vitality
17,Treasurer's Wisdom,Fnatic,jungle,Team Vitality
0,Trimeteor,Fnatic,jungle,Team Vitality
0,Unstoppable Lightning,Fnatic,jungle,Team Vitality
0,Versatil Saber,Fnatic,jungle,Team Vitality
20,Wild Claw,Fnatic,jungle,Team Vitality
10,Wild Spirit,Fnatic,jungle,Team Vitality
0,Arcane Adrenaline,Fnatic,mid,Team Vitality
0,Arcane Explosive,Fnatic,mid,Team Vitality
0,Beast Hunter,Fnatic,mid,Team Vitality
0,Being of Light,Fnatic,mid,Team Vitality
14,Berseker Ax,Fnatic,mid,Team Vitality
0,Collecting Hammer,Fnatic,mid,Team Vitality
0,Colossal Mace,Fnatic,mid,Team Vitality
0,Conquering Staff,Fnatic,mid,Team Vitality
13,Crown of the Dwarf King,Fnatic,mid,Team Vitality
8,Dance of Death,Fnatic,mid,Team Vitality
0,Death Helper,Fnatic,mid,Team Vitality
0,Demon Claws,Fnatic,mid,Team Vitality
25,Divine Ascent,Fnatic,mid,Team Vitality
0,Divine Impetu,Fnatic,mid,Team Vitality
0,Elemental Discharge,Fnatic,mid,Team Vitality
18,Equivalent Totem,Fnatic,mid,Team Vitality
16,Fast Furious Blade,Fnatic,mid,Team Vitality
0,Final Asteroid,Fnatic,mid,Team Vitality
4,Guardian Totem,Fnatic,mid,Team Vitality
0,Hawk's Eye,Fnatic,mid,Team Vitality
0,Heavenly Vision,Fnatic,mid,Team Vitality
0,Holy Sword,Fnatic,mid,Team Vitality
0,Huntress of Souls,Fnatic,mid,Team Vitality
0,Immortal Breastplate,Fnatic,mid,Team Vitality
30,Imperious Gauntlet,Fnatic,mid,Team Vitality
3,Incapacitor,Fnatic,mid,Team Vitality
0,Legend Aura,Fnatic,mid,Team Vitality
0,Magnetic Disintegrator,Fnatic,mid,Team Vitality
0,Meteorites,Fnatic,mid,Team Vitality
0,Obsidian Battle Plate,Fnatic,mid,Team Vitality
0,Omnipresent Amulet,Fnatic,mid,Team Vitality
0,Omnipresent Spirit,Fnatic,mid,Team Vitality
15,Perfect Scythe,Fnatic,mid,Team Vitality
0,Precise Hammer,Fnatic,mid,Team Vitality
0,Rampage Momentum,Fnatic,mid,Team Vitality
0,Rock Tomb,Fnatic,mid,Team Vitality
0,Sacred Help,Fnatic,mid,Team Vitality
0,Savage Looter,Fnatic,mid,Team Vitality
17,Scythe,Fnatic,mid,Team Vitality
18,Secret Scroll,Fnatic,mid,Team Vitality
15,Sharp Blade,Fnatic,mid,Team Vitality
0,Siege Mace,Fnatic,mid,Team Vitality
0,Soul Hunter,Fnatic,mid,Team Vitality
6,Spirit of the Squire,Fnatic,mid,Team Vitality
0,Spirit of the Warrior,Fnatic,mid,Team Vitality
0,Staff of Conquered Worlds,Fnatic,mid,Team Vitality
0,Steel Aura,Fnatic,mid,Team Vitality
0,Swords of Darkness,Fnatic,mid,Team Vitality
0,The Puppeteer,Fnatic,mid,Team Vitality
0,The Stalker,Fnatic,mid,Team Vitality
0,The Visionary,Fnatic,mid,Team Vitality
0,Thirsty Dagger,Fnatic,mid,Team Vitality
0,Thirsty Scythes,Fnatic,mid,Team Vitality
17,Treasurer's Wisdom,Fnatic,mid,Team Vitality
0,Trimeteor,Fnatic,mid,Team Vitality
0,Unstoppable Lightning,Fnatic,mid,Team Vitality
0,Versatil Saber,Fnatic,mid,Team Vitality
1,Wild Claw,Fnatic,mid,Team Vitality
0,Wild Spirit,Fnatic,mid,Team Vitality
0,Arcane Adrenaline,Fnatic,bot,Team Vitality
0,Arcane Explosive,Fnatic,bot,Team Vitality
0,Beast Hunter,Fnatic,bot,Team Vitality
0,Being of Light,Fnatic,bot,Team Vitality
0,Berseker Ax,Fnatic,bot,Team Vitality
0,Collecting Hammer,Fnatic,bot,Team Vitality
0,Colossal Mace,Fnatic,bot,Team Vitality
0,Conquering Staff,Fnatic,bot,Team Vitality
0,Crown of the Dwarf King,Fnatic,bot,Team Vitality
0,Dance of Death,Fnatic,bot,Team Vitality
0,Death Helper,Fnatic,bot,Team Vitality
0,Demon Claws,Fnatic,bot,Team Vitality
0,Divine Ascent,Fnatic,bot,Team Vitality
0,Divine Impetu,Fnatic,bot,Team Vitality
0,Elemental Discharge,Fnatic,bot,Team Vitality
16,Equivalent Totem,Fnatic,bot,Team Vitality
16,Fast Furious Blade,Fnatic,bot,Team Vitality
0,Final Asteroid,Fnatic,bot,Team Vitality
5,Guardian Totem,Fnatic,bot,Team Vitality
0,Hawk's Eye,Fnatic,bot,Team Vitality
0,Heavenly Vision,Fnatic,bot,Team Vitality
0,Holy Sword,Fnatic,bot,Team Vitality
0,Huntress of Souls,Fnatic,bot,Team Vitality
0,Immortal Breastplate,Fnatic,bot,Team Vitality
0,Imperious Gauntlet,Fnatic,bot,Team Vitality
12,Incapacitor,Fnatic,bot,Team Vitality
0,Legend Aura,Fnatic,bot,Team Vitality
0,Magnetic Disintegrator,Fnatic,bot,Team Vitality
0,Meteorites,Fnatic,bot,Team Vitality
0,Obsidian Battle Plate,Fnatic,bot,Team Vitality
0,Omnipresent Amulet,Fnatic,bot,Team Vitality
0,Omnipresent Spirit,Fnatic,bot,Team Vitality
0,Perfect Scythe,Fnatic,bot,Team Vitality
0,Precise Hammer,Fnatic,bot,Team Vitality
0,Rampage Momentum,Fnatic,bot,Team Vitality
10,Rock Tomb,Fnatic,bot,Team Vitality
0,Sacred Help,Fnatic,bot,Team Vitality
0,Savage Looter,Fnatic,bot,Team Vitality
17,Scythe,Fnatic,bot,Team Vitality
0,Secret Scroll,Fnatic,bot,Team Vitality
3,Sharp Blade,Fnatic,bot,Team Vitality
16,Siege Mace,Fnatic,bot,Team Vitality
0,Soul Hunter,Fnatic,bot,Team Vitality
3,Spirit of the Squire,Fnatic,bot,Team Vitality
0,Spirit of the Warrior,Fnatic,bot,Team Vitality
0,Staff of Conquered Worlds,Fnatic,bot,Team Vitality
0,Steel Aura,Fnatic,bot,Team Vitality
0,Swords of Darkness,Fnatic,bot,Team Vitality
0,The Puppeteer,Fnatic,bot,Team Vitality
0,The Stalker,Fnatic,bot,Team Vitality
0,The Visionary,Fnatic,bot,Team Vitality
0,Thirsty Dagger,Fnatic,bot,Team Vitality
0,Thirsty Scythes,Fnatic,bot,Team Vitality
17,Treasurer's Wisdom,Fnatic,bot,Team Vitality
0,Trimeteor,Fnatic,bot,Team Vitality
0,Unstoppable Lightning,Fnatic,bot,Team Vitality
0,Versatil Saber,Fnatic,bot,Team Vitality
2,Wild Claw,Fnatic,bot,Team Vitality
0,Wild Spirit,Fnatic,bot,Team Vitality
0,Arcane Adrenaline,Fnatic,support,Team Vitality
0,Arcane Explosive,Fnatic,support,Team Vitality
0,Beast Hunter,Fnatic,support,Team Vitality
0,Being of Light,Fnatic,support,Team Vitality
0,Berseker Ax,Fnatic,support,Team Vitality
0,Collecting Hammer,Fnatic,support,Team Vitality
0,Colossal Mace,Fnatic,support,Team Vitality
0,Conquering Staff,Fnatic,support,Team Vitality
0,Crown of the Dwarf King,Fnatic,support,Team Vitality
0,Dance of Death,Fnatic,support,Team Vitality
10,Death Helper,Fnatic,support,Team Vitality
0,Demon Claws,Fnatic,support,Team Vitality
0,Divine Ascent,Fnatic,support,Team Vitality
0,Divine Impetu,Fnatic,support,Team Vitality
0,Elemental Discharge,Fnatic,support,Team Vitality
14,Equivalent Totem,Fnatic,support,Team Vitality
0,Fast Furious Blade,Fnatic,support,Team Vitality
0,Final Asteroid,Fnatic,support,Team Vitality
28,Guardian Totem,Fnatic,support,Team Vitality
8,Hawk's Eye,Fnatic,support,Team Vitality
22,Heavenly Vision,Fnatic,support,Team Vitality
0,Holy Sword,Fnatic,support,Team Vitality
0,Huntress of Souls,Fnatic,support,Team Vitality
0,Immortal Breastplate,Fnatic,support,Team Vitality
0,Imperious Gauntlet,Fnatic,support,Team Vitality
12,Incapacitor,Fnatic,support,Team Vitality
0,Legend Aura,Fnatic,support,Team Vitality
0,Magnetic Disintegrator,Fnatic,support,Team Vitality
0,Meteorites,Fnatic,support,Team Vitality
20,Obsidian Battle Plate,Fnatic,support,Team Vitality
0,Omnipresent Amulet,Fnatic,support,Team Vitality
0,Omnipresent Spirit,Fnatic,support,Team Vitality
0,Perfect Scythe,Fnatic,support,Team Vitality
0,Precise Hammer,Fnatic,support,Team Vitality
0,Rampage Momentum,Fnatic,support,Team Vitality
0,Rock Tomb,Fnatic,support,Team Vitality
0,Sacred Help,Fnatic,support,Team Vitality
0,Savage Looter,Fnatic,support,Team Vitality
2,Scythe,Fnatic,support,Team Vitality
0,Secret Scroll,Fnatic,support,Team Vitality
3,Sharp Blade,Fnatic,support,Team Vitality
0,Siege Mace,Fnatic,support,Team Vitality
0,Soul Hunter,Fnatic,support,Team Vitality
15,Spirit of the Squire,Fnatic,support,Team Vitality
0,Spirit of the Warrior,Fnatic,support,Team Vitality
0,Staff of Conquered Worlds,Fnatic,support,Team Vitality
0,Steel Aura,Fnatic,support,Team Vitality
0,Swords of Darkness,Fnatic,support,Team Vitality
0,The Puppeteer,Fnatic,support,Team Vitality
16,The Stalker,Fnatic,support,Team Vitality
18,The Visionary,Fnatic,support,Team Vitality
0,Thirsty Dagger,Fnatic,support,Team Vitality
0,Thirsty Scythes,Fnatic,support,Team Vitality
0,Treasurer's Wisdom,Fnatic,support,Team Vitality
0,Trimeteor,Fnatic,support,Team Vitality
0,Unstoppable Lightning,Fnatic,support,Team Vitality
0,Versatil Saber,Fnatic,support,Team Vitality
0,Wild Claw,Fnatic,support,Team Vitality
0,Wild Spirit,Fnatic,support,Team Vitality
20,Baron' s Mask,Fnatic,coach,Team Vitality
26,Big Worm Hunter,Fnatic,coach,Team Vitality
0,Conquest Hammer,Fnatic,coach,Team Vitality
12,Destroyer Hammer,Fnatic,coach,Team Vitality
25,Elemental Dragon Soul,Fnatic,coach,Team Vitality
8,Eye of the Void,Fnatic,coach,Team Vitality
8,First Line,Fnatic,coach,Team Vitality
0,Golden Force,Fnatic,coach,Team Vitality
0,Killer Momentum,Fnatic,coach,Team Vitality
0,Light Swords,Fnatic,coach,Team Vitality
20,Magic Scales,Fnatic,coach,Team Vitality
0,Royal Protector,Fnatic,coach,Team Vitality
20,Scale Tearer,Fnatic,coach,Team Vitality
0,Seal of Desecration,Fnatic,coach,Team Vitality
20,Spirit of the Rift,Fnatic,coach,Team Vitality
15,Underworld Guardian,Fnatic,coach,Team Vitality
0,Arcane Adrenaline,SK Gaming,top,Team BDS
0,Arcane Explosive,SK Gaming,top,Team BDS
0,Beast Hunter,SK Gaming,top,Team BDS
0,Being of Light,SK Gaming,top,Team BDS
14,Berseker Ax,SK Gaming,top,Team BDS
0,Collecting Hammer,SK Gaming,top,Team BDS
0,Colossal Mace,SK Gaming,top,Team BDS
0,Conquering Staff,SK Gaming,top,Team BDS
0,Crown of the Dwarf King,SK Gaming,top,Team BDS
0,Dance of Death,SK Gaming,top,Team BDS
0,Death Helper,SK Gaming,top,Team BDS
0,Demon Claws,SK Gaming,top,Team BDS
0,Divine Ascent,SK Gaming,top,Team BDS
0,Divine Impetu,SK Gaming,top,Team BDS
0,Elemental Discharge,SK Gaming,top,Team BDS
17,Equivalent Totem,SK Gaming,top,Team BDS
0,Fast Furious Blade,SK Gaming,top,Team BDS
0,Final Asteroid,SK Gaming,top,Team BDS
5,Guardian Totem,SK Gaming,top,Team BDS
0,Hawk's Eye,SK Gaming,top,Team BDS
0,Heavenly Vision,SK Gaming,top,Team BDS
0,Holy Sword,SK Gaming,top,Team BDS
